Video ID,Comment ID,comments
EqzUcMzfV1w,Ugw9pa3lShPuqQdM0sx4AaABAg,Just  watch  the  video  I  love  how  you  make  all  these  technologies  approachable    In  the  past  I've  watched  your  tutorials  to  get  a  feel  for  learning  something  new  when  I  need  to  at  a  job    When  the  boss  wanted  an  app  to  capture  driver  license  info  to  sell  to  dealerships    I  chose  Ionic  so  I  could  have  one  code  base  and  compile  to  Android  and  iOS  your  videos  really  helped  me  and  I  was  able  to  pull  it  off  working  alone  on  the  project    Its  ultimately  didn't  get  used    and  the  owner  sold  the  company    but  I  felt  like  I  really  accomplished  something    I  really  appreciate  your  channel  and  all  the  work  that  has  gone  into  making  these  videos    Thank  you  
EqzUcMzfV1w,Ugzwk3Kg0ebr9p4YoMx4AaABAg,It's  always  suggested  to  have  a  broad  overview  before  going  in  depth  and  this  video  accomplished  that  subject    Thank  you  and  well  done      
EqzUcMzfV1w,Ugzh1t311sGhdHZaSrJ4AaABAg,Finally  it  is  here        all  the  best  everyone        let's  hope  we  all  become  a  good  web  developer  at  the  end  of  this  year        
EqzUcMzfV1w,UgwjVaDmn7ghefxLYMJ4AaABAg,The  most  comprehensive  summary  of  technologies  I  have  ever  seen    thanks    It  is  good  to  keep  up  to  date  with  the  evolving  technologies  
EqzUcMzfV1w,UgzB8nuKXk_tX6KKn3l4AaABAg,how  interesting  and  fun    this  guide  is      can't    thank  you  enough  Brad  
EqzUcMzfV1w,UgwTw_NnGPTen_8Yeid4AaABAg,This  guide  really  gave  me  a  great  idea  on  how  to  channel  and  segment  my  learning  for  this  year    Thanks  alot  Brad  
EqzUcMzfV1w,UgzTDyarklbbGb6LL_x4AaABAg,Amazing  walkthrough        Thank  you  sooo  much    now  it  actually  makes  sense  what  technologies  are  involved  and  what  the  purpose  is    they  fulfill  
EqzUcMzfV1w,Ugyn9QCEzZ9JOJITNWd4AaABAg,Your  video  helped  me  a  lot  in  getting  a  very  complete  overview  of  this  whole  topic  and  I  appreciate  it    Great  work  
EqzUcMzfV1w,UgwJX5rWxiFYeilb4gl4AaABAg,Thank  you  for  continuing  to  do  these      They're  a  fantastic  summary  for  both  myself  and  to  recommend  to  other  people
EqzUcMzfV1w,Ugyjzj8Ewa3E0bemqvN4AaABAg,Hello      Thank  you  for  the  tutorials    they  have  been  most  helpful  to  me    Please    do  you  know  how  I  can  restrict  user  registration  to  only  institutions    Like  you  can  only  register  if  you  have  an  email  with  a  institution    Also    any  idea  how  I  can  set  it  up  so  that    when  the  link  of  my  website  is  shared    a  thumbnail  picture  along  with  a  little  write  up  pops  up    Thank  you  
